path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,duplicate_of
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786784400-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786784400-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786784400,1786784700,False,247,243,0,0,2,241,0,,,301,UNKNOWN,not_extreme,0.505,,0.0061299800872802734,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786784400-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786783800-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786783800-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786783800,1786784100,False,558,554,0,0,2,552,0,,,301,UNKNOWN,not_extreme,0.505,,0.012130975723266602,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786783800-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786784700-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786784700-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786784700,1786785000,False,211,202,0,0,5,197,0,,,301,UNKNOWN,not_extreme,0.505,,0.0059032440185546875,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786784700-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786784100-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786784100-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786784100,1786784400,False,179,175,0,0,2,173,0,,,301,UNKNOWN,not_extreme,0.505,,0.012951850891113281,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786784100-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786785000-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786785000-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786785000,1786785300,False,168,164,0,0,3,161,0,,,301,UNKNOWN,not_extreme,0.5,,0.003660917282104492,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786785000-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786785600-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786785600-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786785600,1786785900,False,192,190,0,0,2,188,0,,,301,UNKNOWN,not_extreme,0.505,,0.010154962539672852,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786785600-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786786200-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786786200-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786786200,1786786500,False,158,156,0,0,2,154,0,,,301,UNKNOWN,not_extreme,0.505,,0.003789663314819336,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786786200-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786782900-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786782900-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786782900,1786783200,False,540,538,0,0,2,536,0,,,301,UNKNOWN,not_extreme,0.505,,0.03909707069396973,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786782900-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786785300-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786785300-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786785300,1786785600,False,574,572,0,0,1,571,0,,,301,UNKNOWN,not_extreme,0.505,,0.020550012588500977,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786785300-2026-08-15.txt.zst
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-14.zip::polymarket-btc-updown-5m-1786786500-2026-08-14.txt.zst,polymarket-btc-updown-5m-1786786500-2026-08-14.txt.zst,polymarket-btc-5m_2026-08-14.zip,1786786500,1786786800,False,194,192,0,0,2,190,0,,,301,UNKNOWN,not_extreme,0.505,,0.006553173065185547,,no_leader,,,,,,,,,no_leader,,,,,,,,,zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-15.zip::polymarket-btc-updown-5m-1786786500-2026-08-15.txt.zst
